accuracy_pct,99.81975933532803
avg_dollar_error,0.4776872442376597
w,0,439,0.00023953202186281373
w,0,440,-0.00251532218885922
w,0,441,0.0004798802324602126
w,0,442,0.0003790692488691291
w,0,443,0.0004150509872579473
w,0,444,0.00040395633968760467
w,0,445,0.00009591990935947207
w,0,446,-0.00024961238708587347
w,0,447,-0.0018476222105553411
w,0,448,0.0005832175003158073
w,0,449,0.00046423303086667866
w,0,450,0.0004890644272055446
w,0,451,0.0004720460377124928
w,0,452,-0.00020626865786191735
w,0,453,-0.00015734220835234808
w,0,454,-0.0016574636132876954
w,0,455,0.0006046147458820566
w,0,456,0.000516388339535743
w,0,457,0.000586441500974685
w,0,458,0.0006001443231121314
w,0,459,-0.00020560711879205967
w,0,460,-0.0006210653112638104
w,0,461,-0.0019788697843381707
w,0,462,0.0006390785745028757
w,0,463,0.0005709123219627547
w,0,464,0.0005736023019435253
w,0,465,0.000602215967696707
w,0,466,-0.00007101888898608406
w,0,467,-0.0008479864455546085
w,0,468,-0.002188443154515639
w,0,469,0.000615967610031297
w,0,470,0.0006037702892309677
w,0,471,0.0005931687246827584
w,0,472,0.0006073303124807831
w,0,473,-0.000028194306369307936
w,0,474,-0.0006278279935613035
w,0,475,-0.002773426480802673
w,0,476,0.0006936459575037962
w,0,477,0.0005848865901467134
w,0,478,0.0006514559384241642
w,0,479,0.0007227906333876347
w,0,480,0.0002028262571366239
w,0,481,-0.0014946118225625067
w,0,482,-0.001764083699714043
w,0,483,0.0006580675699437884
w,0,484,0.000628508392621913
w,0,485,0.0006798085499511016
w,0,486,0.000684028249930497
w,0,487,0.00012191678644464478
w,0,488,-0.00047412560579508667
w,0,489,-0.00259188481631981
w,0,490,0.0007463959042168407
w,0,491,0.00060390278548759
w,0,492,0.0006870259399150589
w,0,493,0.0006627332951369086
w,0,494,0.00007166754350532735
w,0,495,-0.000040742730197843865
w,0,496,-0.00141141559723841
w,0,497,0.0006519975210478213
w,0,498,0.0006534806397683405
w,0,499,0.0006673358729342388
w,0,500,0.0006299205410896777
w,0,501,0.00023446455128957577
w,0,502,0.0001580121514850459
w,0,503,-0.0029163218749389797
w,0,504,0.0004762744072746835
w,0,505,0.0005578615729774013
w,0,506,0.0005838755701520827
w,0,507,0.0005588745539290968
w,0,508,0.0001319943184564768
w,0,509,-0.000033153684905146946
w,0,510,-0.0037538772061564427
w,0,511,0.000386805361493137
w,0,512,0.000452348999310008
w,0,513,0.0004545435083761382
w,0,514,0.0004657282312861849
w,0,515,-0.00015327599742711174
w,0,516,-0.0005868669784177875
w,0,517,-0.003586402562777374
w,0,518,0.00029360824900333396
w,0,519,0.0003353898341238547
w,0,520,0.00035121030580601606
w,0,521,0.00033177026694961547
w,0,522,-0.00007826493029390003
w,0,523,-0.00012479233740100138
w,0,524,-0.0033382696396971
w,0,525,0.00021420576641443148
w,0,526,0.00024683400398581626
w,0,527,0.00022263348285268266
w,0,528,0.0002385135909115598
w,0,529,-0.0002121216291827054
w,0,530,-0.0006653322842656846
w,0,531,-0.003242782300073751
w,0,532,0.00010793930153828026
w,0,533,0.00019155626941091085
w,0,534,0.0001867768141850295
w,0,535,0.00012913252637118298
w,0,536,-0.000015790711110218774
w,0,537,0.00045055098747798683
w,0,538,-0.0037759001762974497
w,0,539,0.0001273277709447887
w,0,540,0.00011478418439679647
w,0,541,0.00017876599612623613
w,0,542,0.00016434563362567953
w,0,543,-0.00011452300273513767
w,0,544,-0.00020635532013022048
w,0,545,-0.002770881497731325
w,0,546,0.00006732035959938186
w,0,547,0.00007736853710305713
w,0,548,0.00006318970151442008
w,0,549,0.0000322061900291005
w,0,550,-0.0000718569522350666
w,0,551,0.00004171807594284316
w,0,552,-0.003007120394774599
w,0,553,0.000028401991884384077
w,0,554,0.00008266655970484884
w,0,555,0.0000989692674424499
w,0,556,0.000004887932394197925
w,0,557,-0.00027102691547942616
w,0,558,0.0010014036629533657
w,0,559,-0.0034693123908474386
w,0,560,0.000040409726242620016
w,0,561,0.000034497940561642526
w,0,562,0.00012859133671786326
w,0,563,0.00006072863108435804
w,0,564,-0.00012792053039366983
w,0,565,0.0006040000805207211
w,0,566,-0.0028403816079058176
w,0,567,0.0001008358365202571
w,0,568,0.000014892979056290215
w,0,569,0.00020063807080259843
w,0,570,0.00006436905807246437
w,0,571,-0.00023449807776768382
w,0,572,0.0016454478600767437
w,0,573,-0.0020038423218566416
w,0,574,0.00004682574787782402
w,0,575,0.00006996314142192019
w,0,576,0.00009880623559025739
w,0,577,0.000018827432658302683
w,0,578,-0.00007223617464269759
w,0,579,0.0007871523126064919
w,0,580,-0.0031439611191001206
w,0,581,0.00011968437170850336
w,0,582,0.000020488272655037465
w,0,583,0.0001439176377689888
w,0,584,0.00002527405216734609
w,0,585,-0.00010517895242794947
w,0,586,0.0013759370015436285
w,0,587,-0.0018652909803684808
w,0,588,0.00023950830304052904
w,0,589,0.00011578783250348342
w,0,590,0.00026131185373883334
w,0,591,0.00020250353643940227
w,0,592,-0.0002189188699873819
w,0,593,0.0004705274320679008
w,0,594,-0.001608722906165642
w,0,595,0.00019321012419379967
w,0,596,0.00016256596547847377
w,0,597,0.00023782942026651557
w,0,598,0.00024170324440748214
w,0,599,-0.00006343533023518762
w,0,600,-0.0004824648729486333
w,0,601,-0.002581567234962503
w,0,602,0.0002697455802194477
w,0,603,0.00016928957584019165
w,0,604,0.00034507392229740224
w,0,605,0.00030069502664092256
w,0,606,-0.00005332349450067683
w,0,607,0.0002538912215440591
w,0,608,-0.0018517939036020695
w,0,609,0.0004154273845088692
w,0,610,0.00023928419910697451
w,0,611,0.00044582933375011534
w,0,612,0.00037603218702646614
w,0,613,-0.00033802056859169735
w,0,614,0.0006431454021450033
w,0,615,-0.0010604653552822357
w,0,616,0.0006222026655113297
w,0,617,0.00038783628675738673
w,0,618,0.0006080891455846528
w,0,619,0.0005479595029657202
w,0,620,-0.00044457547784229216
w,0,621,0.0005012668017195277
w,0,622,-0.00045151906570782167
w,0,623,0.0007569382658576702
w,0,624,0.0006434845565724855
w,0,625,0.0007935571949080966
w,0,626,0.0008126016846500551
w,0,627,-0.00029280302966188174
w,0,628,-0.0006958459787261877
w,0,629,-0.0017148839360709987
w,0,630,0.0009156155906431373
