accuracy_pct,100
avg_dollar_error,0.0000000000000056843418860808026
bias,0,-0.00044269632736477474
bias,1,-0.00047928891198333767
bias,2,-0.0005430225072967912
bias,3,-0.0004638818999945053
bias,4,-0.00026517785217943906
bias,5,0.000015682550363024367
bias,6,-0.0000004982782985689738
bias,7,0.00016251725978704365
bias,8,0.00014914007018507384
bias,9,0.00018463062113613395
w,0,579,-0.00009053660734620579
w,0,580,0.0010039845423297437
w,0,581,0.0017408237156014848
w,0,582,0.0018008259112546154
w,0,583,0.0017116324191984488
w,0,584,0.0018220017203755406
w,0,585,-0.0007655802181171682
w,0,586,-0.00027565268753675895
w,0,587,-0.000941710882202264
w,0,588,0.001788264656254153
w,0,589,0.0017183722338231966
w,0,590,0.0017002032926458402
w,0,591,0.001758288142537291
w,0,592,0.0016702938398171065
w,0,593,-0.0004124701026216898
w,0,594,-0.0004278216720113806
w,0,595,0.0016952895509158468
w,0,596,0.0017560849436335307
w,0,597,0.0017376647962710936
w,0,598,0.0017376081306574548
w,0,599,-0.0023883210803884156
w,0,600,0.000936479127902305
w,0,601,-0.0009703861173209384
w,0,602,0.0019091271914223873
w,0,603,0.0017096954018112414
w,0,604,0.0017713066249566568
w,0,605,0.001853873855914055
w,0,606,-0.002464608910131406
w,0,607,-0.000053979581332275916
w,0,608,0.0024186205626332367
w,0,609,0.0018309854037158442
w,0,610,0.0018745456004914346
w,0,611,0.001737486649905893
w,0,612,0.002004821470922672
w,0,613,0.00044784930065411467
w,0,614,-0.0015934059238790483
w,0,615,-0.0008309541478228705
w,0,616,0.002158064874959522
w,0,617,0.001829786138661429
w,0,618,0.001976540667257882
w,0,619,0.001998492679143853
w,0,620,0.00011144642613781381
w,0,621,0.00041774985674949896
w,0,622,0.003227982530847365
w,0,623,0.0022734428674927878
w,0,624,0.002176284309838452
w,0,625,0.002173252933283029
w,0,626,0.0023216014905717603
w,0,627,0.0009518432953791202
w,0,628,-0.0008644222362962732
w,0,629,0.0007402249679885143
w,0,630,0.0021541503743083786
w,0,631,0.0022542776780903996
w,0,632,0.002191073281063498
w,0,633,0.0021746849550479397
w,0,634,-0.001008817096264064
w,0,635,0.000838586615952559
w,0,636,-0.0003706156254676188
w,0,637,0.0021539506159852094
w,0,638,0.0021388528235228
w,0,639,0.002030279051945461
w,0,640,0.0022108607516563533
w,0,641,0.0009520074043749068
w,0,642,-0.0007040322965721795
w,0,643,0.00031481775558074874
w,0,644,0.002230061914499076
w,0,645,0.0021535862482782177
w,0,646,0.0020693742183204474
w,0,647,0.002270137167230605
w,0,648,-0.000059020893113224775
w,0,649,-0.0014861006838133638
w,0,650,0.0006116005888755679
w,0,651,0.0022139447664915137
w,0,652,0.0022179733985794457
w,0,653,0.0021317769387989285
w,0,654,0.0022413249928946305
w,0,655,0.001232636030229565
w,0,656,-0.00022795309951482583
w,0,657,0.000774753491477717
w,0,658,0.00225669254033336
w,0,659,0.0022440199506373088
w,0,660,0.002134179552571194
w,0,661,0.002274732718439297
w,0,662,0.00026302041289038143
w,0,663,0.0002786945692471249
w,0,664,-0.000005928976299676497
w,0,665,0.0024195005930668155
w,0,666,0.002262947927511215
w,0,667,0.0023546671824721302
w,0,668,0.002447546062104505
w,0,669,-0.0012280205475491393
w,0,670,0.000353404427272965
w,0,671,0.0015593960023056943
w,0,672,0.002520385705666805
w,0,673,0.002409861892243816
w,0,674,0.0023756166645383
w,0,675,0.00256179172411922
w,0,676,-0.0014420060380500527
w,0,677,-0.0012704168482971507
w,0,678,0.0021351392886920255
w,0,679,0.002449922994333965
w,0,680,0.002491449012594091
w,0,681,0.0024159520973980955
w,0,682,0.0024234702505730316
w,0,683,-0.0016987009413266328
w,0,684,0.0014773673983368275
w,0,685,-0.00024167673062697466
w,0,686,0.002582781019471694
w,0,687,0.0024630665498801252
w,0,688,0.0024954343147576114
w,0,689,0.0025795632263848926
w,0,690,0.00213975397511313
w,0,691,-0.00002952139202195863
w,0,692,0.0004582724032516665
w,0,693,0.0027791741983499074
w,0,694,0.002597219899936356
w,0,695,0.002644002731926249
w,0,696,0.0027400906877952285
w,0,697,-0.0008687244051064285
w,0,698,-0.0006042226938961537
w,0,699,0.0016387895261493542
w,0,700,0.0028744639097455565
w,0,701,0.0027682507940189915
w,0,702,0.0028411304980565277
w,0,703,0.0028797822974343345
w,0,704,0.0018804997071054218
w,0,705,0.0008969936708582525
w,0,706,0.0015851291111790356
